MPW,US58463J3041,20201208,3000,20.84,62520
PFE,US7170811035,20201208,2350,42.56,100016
WMT,US9311421039,20201208,204,149.45,30487.8
WWE,US98156Q1085,20201208,2027,43.77,88721.79
SFIX,US8608971078,20201208,-900,49.89,-44901
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201209,2742,16.77,45983.34
ETSY,US29786A1060,20201209,457,159.23,72768.11
IWV,US4642876894,20201209,12127,218.61,2651083.47
MPW,US58463J3041,20201209,3000,20.6,61800
PFE,US7170811035,20201209,2350,41.85,98347.5
WMT,US9311421039,20201209,204,148.27,30247.08
WWE,US98156Q1085,20201209,2027,43.82,88823.14
SFIX,US8608971078,20201209,-900,56.05,-50445
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201210,2742,17.65,48396.3
ETSY,US29786A1060,20201210,457,165.3,75542.1
IWV,US4642876894,20201210,12127,218.95,2655206.65
MPW,US58463J3041,20201210,3000,20.49,61470
PFE,US7170811035,20201210,2350,41.73,98065.5
WMT,US9311421039,20201210,204,147.04,29996.16
WWE,US98156Q1085,20201210,2027,44.44,90079.88
SFIX,US8608971078,20201210,-900,59.21,-53289
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201211,2742,17,46614
ETSY,US29786A1060,20201211,457,170.02,77699.14
IWV,US4642876894,20201211,12127,218.58,2650719.66
MPW,US58463J3041,20201211,3000,20.68,62040
PFE,US7170811035,20201211,2350,41.12,96632
WMT,US9311421039,20201211,204,147,29988
WWE,US98156Q1085,20201211,2027,44.25,89694.75
SFIX,US8608971078,20201211,-900,60.06,-54054
Symbol,SecurityID,ReportDate,Quantity,MarkPrice,PositionValue
COG,US1270971039,20201214,2742,17.25,47299.5
ETSY,US29786A1060,20201214,457,169.97,77676.29
IWV,US4642876894,20201214,12127,216.99,2631437.73
MPW,US58463J3041,20201214,3000,20.8,62400
PFE,US7170811035,20201214,2350,39.21,92143.5
WMT,US9311421039,20201214,204,145.65,29712.6
WWE,US98156Q1085,20201214,2027,44.61,90424.47
SFIX,US8608971078,20201214,-900,64.07,-57663
